Model,Tumor Type,Treatment,Volume (mm3),body weight (g),Days Post T0,% TVol Difference,% BW Difference
X-007,GC,BGJ398,202.3,21.5,0.0,0.0,0.0
X-007,GC,BGJ398,590.3,23.0,4.0,191.8,7.0
X-007,GC,BGJ398,796.3,22.7,7.0,293.6,5.6
X-007,GC,BGJ398,1004.5,23.4,11.0,396.5,8.8
X-007,GC,BKM120,288.8,20.4,0.0,0.0,0.0
X-007,GC,BKM120,419.9,21.2,4.0,45.4,3.9
X-007,GC,BKM120,634.1,20.9,7.0,119.6,2.5
X-007,GC,BKM120,702.5,19.1,11.0,143.2,-6.4
X-007,GC,BKM120,835.0,18.3,14.0,189.1,-10.3
X-007,GC,BYL719,274.7,21.8,0.0,0.0,0.0
X-007,GC,BYL719,788.4,21.8,4.0,187.0,0.0
X-007,GC,BYL719,1082.4,21.7,7.0,294.0,-0.5
X-007,GC,BYL719,1109.0,20.8,11.0,303.7,-4.6
X-007,GC,BYL719 + HSP990,293.3,19.0,0.0,0.0,0.0
X-007,GC,BYL719 + HSP990,488.9,16.5,3.0,66.7,-13.2
X-007,GC,BYL719 + HSP990,261.8,14.6,6.0,-10.7,-23.2
X-007,GC,BYL719 + HSP990,256.1,16.1,9.0,-12.7,-15.3
X-007,GC,BYL719 + HSP990,311.3,18.6,13.0,6.1,-2.1
X-007,GC,BYL719 + HSP990,301.9,18.3,16.0,2.9,-3.7
X-007,GC,BYL719 + HSP990,481.0,18.6,20.0,64.0,-2.1
X-007,GC,BYL719 + HSP990,491.6,18.7,23.0,67.6,-1.6
X-007,GC,BYL719 + HSP990,434.6,18.2,27.0,48.2,-4.2
X-007,GC,BYL719 + HSP990,893.4,19.3,30.0,204.6,1.6
X-007,GC,BYL719 + LJM716,220.1,21.0,0.0,0.0,0.0
X-007,GC,BYL719 + LJM716,338.3,20.4,3.0,53.7,-2.9
X-007,GC,BYL719 + LJM716,371.5,18.5,9.0,68.8,-11.9
X-007,GC,BYL719 + LJM716,308.1,18.5,13.0,40.0,-11.9
X-007,GC,BYL719 + LJM716,338.8,17.5,16.0,53.9,-16.7
X-007,GC,BYL719 + LJM716,325.6,17.4,20.0,47.9,-17.1
X-007,GC,BYL719 + LJM716,447.1,18.1,23.0,103.1,-13.8
X-007,GC,BYL719 + LJM716,366.7,18.1,27.0,66.6,-13.8
X-007,GC,BYL719 + LJM716,472.2,18.7,30.0,114.5,-11.0
X-007,GC,CLR457,226.1,22.0,0.0,0.0,0.0
X-007,GC,CLR457,291.1,23.4,3.0,28.7,6.4
X-007,GC,CLR457,285.3,21.7,6.0,26.2,-1.4
X-007,GC,CLR457,294.9,21.1,9.0,30.4,-4.1
X-007,GC,CLR457,336.6,20.3,13.0,48.9,-7.7
X-007,GC,CLR457,282.7,20.1,16.0,25.0,-8.6
X-007,GC,CLR457,367.9,21.0,20.0,62.7,-4.5
